Date,Close,Scaled_closing_price
2000-01-03,293.5,0.003331837171563712
2000-01-04,304.05,0.006974415633739586
2000-01-05,292.8,0.0030901495010875885
2000-01-06,296.45,0.004350378068570221
2000-01-07,286.55,0.0009322238718364739
2000-01-10,287.2,0.0011566481372785736
2000-01-11,283.85,0.0
2000-01-12,285.6,0.0006042191761903015
2000-01-13,283.85,0.0
2000-01-14,286.55,0.0009322238718364739
2000-01-17,302.2,0.006335669647481251
2000-01-18,305.75,0.007561371404895892
2000-01-19,305.25,0.007388737354555794
2000-01-20,291.35,0.002589510755101332
2000-01-21,299.55,0.005420709180678787
2000-01-24,293.05,0.0031764665262576236
2000-01-25,303.15,0.00666367434312741
2000-01-27,316.6,0.011307530297275825
2000-01-28,324.4,0.014000621482581202
2000-01-31,333.5,0.017142561198770834
2000-02-01,350.55,0.02302938231536787
2000-02-02,351.4,0.02332286020094601
2000-02-03,341.9,0.020042813244484314
2000-02-04,357.2,0.02532541518489105
2000-02-07,355.45,0.024721196008700735
2000-02-08,350.5,0.023012118910333862
2000-02-09,329.15,0.01564064496081205
2000-02-10,320.35,0.012602285674826491
2000-02-11,343.65,0.02064703242067463
2000-02-14,359.15,0.02599868798121739
2000-02-15,332.6,0.016831819908158685
2000-02-16,341.6,0.019939232814280283
2000-02-17,339.2,0.01911058937264784
2000-02-18,327.9,0.015209059834961819
2000-02-21,319.15,0.01218796395401027
2000-02-22,305.95,0.007630425025031917
2000-02-23,330.45,0.016089493491696277
2000-02-24,351.7,0.02342644063115007
2000-02-25,379.85,0.03314573766529709
2000-02-28,409.7,0.0434519904706004
2000-02-29,401.7,0.04068984566515897
2000-03-01,433.85,0.05179021510202671
2000-03-02,468.6,0.0637882816006629
2000-03-03,473.05,0.0653247246486897
2000-03-06,443.5,0.05512205227359042
2000-03-07,412.2,0.044315160722300836
2000-03-08,416.7,0.045868867175361636
2000-03-09,399.6,0.039964782653730616
2000-03-10,397.55,0.039256983047336255
2000-03-13,381.6,0.03374995684148742
2000-03-14,396.65,0.03894624175672408
2000-03-15,400.5,0.040275523944342764
2000-03-16,398.2,0.03948140731277834
2000-03-21,406.35,0.042295342333321814
2000-03-22,413.25,0.04467769222801503
2000-03-23,409.85,0.043503780685702445
2000-03-24,416.8,0.04590339398542968
